Invoice ID,Branch,City,Customer_type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,A,深圳,Member,1996,Health and beauty,74.69,7,26.1415,91.753 ,2021/1/5,13:08,Ewallet,522.83,4.761904762,26.1415,91.753 
226-31-3081,C,深圳,Normal,1997,Electronic accessories,15.28,5,3.82,96.575 ,2021/3/8,10:29,Cash,76.4,4.761904762,3.82,96.575 
631-41-3108,A,深圳,Normal,1998,Home and lifestyle,46.33,7,16.2155,92.491 ,2021/3/3,13:23,Credit card,324.31,4.761904762,16.2155,92.491 
123-19-1176,A,深圳,Member,1999,Health and beauty,58.22,8,23.288,96.233 ,2021/1/27,20:33,Ewallet,465.76,4.761904762,23.288,96.233 
373-73-7910,A,深圳,Normal,2000,Sports and travel,86.31,7,30.2085,92.123 ,2021/2/8,10:37,Ewallet,604.17,4.761904762,30.2085,92.123 
699-14-3026,C,深圳,Normal,2001,Electronic accessories,85.39,7,29.8865,85.666 ,2021/3/25,18:30,Ewallet,597.73,4.761904762,29.8865,85.666 
355-53-5943,A,深圳,Member,2002,Electronic accessories,68.84,6,20.652,92.123 ,2021/2/25,14:36,Ewallet,413.04,4.761904762,20.652,92.123 
315-22-5665,C,深圳,Normal,1997,Home and lifestyle,73.56,10,36.78,92.491 ,2021/2/24,11:38,Ewallet,735.6,4.761904762,36.78,92.491 
665-32-9167,A,深圳,Member,1998,Health and beauty,36.26,2,3.626,79.522 ,2021/1/10,17:15,Credit card,72.52,4.761904762,3.626,79.522 
692-92-5582,B,深圳,Member,1999,Food and beverages,54.84,3,8.226,96.587 ,2021/2/20,13:27,Credit card,164.52,4.761904762,8.226,96.587 
351-62-0822,B,深圳,Member,2000,Fashion accessories,14.48,4,2.896,98.294 ,2021/2/6,18:07,Ewallet,57.92,4.761904762,2.896,98.294 
529-56-3974,B,深圳,Member,2001,Electronic accessories,25.51,4,5.102,98.976 ,2021/3/9,17:03,Cash,102.04,4.761904762,5.102,98.976 
365-64-0515,A,深圳,Normal,2002,Electronic accessories,46.95,5,11.7375,98.635 ,2021/2/12,10:25,Ewallet,234.75,4.761904762,11.7375,98.635 
252-56-2699,A,深圳,Normal,2003,Food and beverages,43.19,10,21.595,100.000 ,2021/2/7,16:48,Ewallet,431.9,4.761904762,21.595,100.000 
829-34-3910,A,深圳,Normal,2004,Health and beauty,71.38,10,35.69,100.000 ,2021/3/29,19:21,Cash,713.8,4.761904762,35.69,100.000 
299-46-1805,B,深圳,Member,2005,Sports and travel,93.72,6,28.116,100.000 ,2021/1/15,16:19,Cash,562.32,4.761904762,28.116,100.000 
656-95-9349,A,深圳,Member,2006,Health and beauty,68.93,7,24.1255,100.000 ,2021/3/11,11:03,Credit card,482.51,4.761904762,24.1255,100.000 
765-26-6951,A,深圳,Normal,2007,Sports and travel,72.61,6,21.783,100.000 ,2021/1/1,10:39,Credit card,435.66,4.761904762,21.783,100.000 
329-62-1586,A,深圳,Normal,2008,Food and beverages,54.67,3,8.2005,100.000 ,2021/1/21,18:00,Credit card,164.01,4.761904762,8.2005,100.000 
319-50-3348,B,深圳,Normal,2009,Home and lifestyle,40.3,2,4.03,100.000 ,2021/3/11,15:30,Ewallet,80.6,4.761904762,4.03,100.000 
300-71-4605,C,深圳,Member,2010,Electronic accessories,86.04,5,21.51,100.000 ,2021/2/25,11:24,Ewallet,430.2,4.761904762,21.51,100.000 
